id,moves,opening_eco,winner,evaluations,avg_eval,max_eval,min_eval,eval_diff,eval_variance,avg_rate_change,max_rate_change,sign_changes,white_advantage_time,eval_range
,c2c4 e7e5 g2g3 g8f6 f1g2 d7d5 c4d5 f6d5 b1c3 d5b6 d2d3 f8e7 c1e3 e8g8 a1c1 b8c6 g2c6 b7c6 g1f3 d8d6 c3e4 d6e6 a2a3 c8b7 e4c5 e7c5 e3c5 f8e8 d1c2 a8d8 e1g1 e6h3 e2e4 h3h5 g1g2 e8e6 c2e2 b7a6 f1d1 e6h6 h2h4 d8d7 e2e3 h6f6 d3d4 e5d4 c5d4 f6d6 e4e5 b6d5 e3e4 d6g6 d4e3 a6e2 d1d2 d5e3 e4e3 h5f3 e3f3 e2f3 g2f3 d7d2 b2b4 g6e6 c1c5 d2d5 c5a5 d5a5 b4a5 e6e5 f3f4 e5a5,A20,-1,-2 3 12 12 11 13 20 15 9 7 11 13 12 8 9 11 -1 -4 -2 33 25 55 22 65 55 57 49 44 31 75 89 106 87 98 40 94 ,32.833333333333336,106.0,-4.0,96.0,1018.5833333333331,2.742857142857143,54.0,3.0,0.8888888888888888,110.0
,g1f3 g7g6 g2g3 f8g7 f1g2 c7c5 c2c4 b8c6 b1c3 g8h6 e1g1 h6f5 b2b3 e8g8 c1b2 d7d6 e2e3 e7e5 d2d3 a7a6 d1e2 a8b8 f3d2 c8e6 c3d5 e6d5 c4d5 c6e7 f2f4 e5f4 b2g7 g8g7 g3f4 f5h4 g1h1 h4g2 e2g2 e7f5 a1e1 b7b5 e3e4 f5d4 d2f3 d4f3 g2f3 f7f6 e1c1 d8a5 c1c2 b8e8 f4f5 g6g5 h2h4 a5d8 c2h2 d8e7 f1g1 h7h6 h4g5 h6g5 f3h5 f8g8 h5h6 g7f7 g1g3 e7e5 h6h7 g8g7 h7h5 f7e7 g3g1 e8g8 h5g4 c5c4 b3c4 b5c4 d3c4 g8b8 g1g2 b8b1 g2g1 e5a1 g1b1 a1b1 h1g2 b1a2 g2g3 a2c4 h2f2 c4d3 f2f3 d3d4 g4h5 d4e5 g3g2 g5g4 f3g3 e5b2 g2g1 b2c1 g1h2 c1d2 g3g2 d2g5 h2g1 g5h5 g2h2 h5g5 h2g2,A37,-1,15 58 11 13 13 21 22 21 17 34 13 12 8 8 -5 10 10 13 25 35 34 35 38 45 36 113 123 122 -211 54 42 86 30 117 48 72 71 66 78 121 116 141 9 19 1 9 -7 52 40 70 74 70 67 180 ,42.870370370370374,180.0,-211.0,165.0,2951.8906035665295,3.1132075471698113,265.0,6.0,0.9444444444444444,391.0
,e2e4 c7c6 g1f3 d7d5 e4d5 c6d5 c2c4 g8f6 c4d5 f6d5 f1c4 e7e6 e1g1 f8e7 d2d4 e8g8 b1c3 d5c3 b2c3 d8c7 d1d3 b8d7 c1g5 e7g5 f3g5 d7f6 f1e1 b7b6 e1e3 c8b7 e3h3 h7h6 g5f3 b7f3 h3f3 a8c8 c4b3 f8d8 a1e1 f6d5 h2h4 c7c3 d3e4 c3d2 e1e2 c8c1 g1h2 d5c3 e4e3 d2e3 e2e3 c3d5 e3e5 d5f6 f3f4 c1c7 g2g4 c7d7 g4g5 h6g5 h4g5 f6d5 f4h4 g7g6 h2g3 d5e7 e5e6 e7f5 g3h3 f5h4,B10,-1,31 64 34 29 21 24 -21 21 19 17 15 27 30 28 16 16 20 8 6 9 17 15 -20 -22 -24 -16 -16 -17 -31 -20 -167 -140 -141 -10 -4 ,-5.2,64.0,-167.0,-35.0,2400.2742857142857,-1.0294117647058822,131.0,3.0,0.6,231.0
,d2d4 e7e5 d4e5 b8c6 g1f3 d7d6 c1f4 c8g4 b1d2 d6e5 f3e5 c6e5 f4e5 d8d5 e5f4 e8c8 f2f3 g7g5 e2e4 d5c5 f4g3 g4e6 f1d3 g8f6 d1e2 f6h5 g3f2 c5b4 e1g1 h5f4 e2e3 b7b6 d2b3 e6b3 a2b3 f8c5 e3e1 b4e1 f1e1 c5f2 g1f2 d8d3 c2d3 f4d3 f2e3 d3e1 a1e1 h8d8 e1e2 c7c5 g2g3 c8c7 f3f4 c7c6 f4g5 c6b5 e2f2 b5b4 f2f7 b4b3 f7a7 b3b2 a7b7 d8d6 e4e5 d6e6 e3e4 c5c4 e4d5 e6g6 h2h4 c4c3 e5e6 c3c2 b7c7 b6b5 e6e7 g6g8 d5e6 b5b4 h4h5 b4b3 e6f7 g8a8 g5g6 h7g6 h5g6 c2c1q c7c1 b2c1 e7e8q a8e8 f7e8 b3b2 g6g7 b2b1q g7g8q b1e4 e8f7 e4d5 f7g7 d5g5 g7h8 g5h6 g8h7 h6f8 h7g8 f8h6 g8h7 h6f8 h7g8 f8h6,A40,0,21 133 136 129 129 143 91 77 85 92 65 67 64 155 28 37 29 39 35 41 43 45 33 111 66 137 126 120 -8 -9 -18 25 45 78 0 0 -12 57 64 69 53 53 55 66 16 11 31 30 -12 -21 -14 12 0 151 181 177 ,59.94642857142857,181.0,-21.0,156.0,2829.6935586734694,2.8363636363636364,151.0,9.0,0.8214285714285714,202.0
,g1f3 g8f6 c2c4 g7g6 d2d4 f8g7 g2g3 d7d6 f1g2 e8g8 e1g1 b8c6 b1c3 c8f5 c1g5 f6e4 c3e4 f5e4 d4d5 c6b8 d1d2 b8d7 g5h6 e4f3 e2f3 a7a5 h6g7 g8g7 f3f4 d7c5 g2h3 c7c6 f1e1 c6d5 c4d5 f8e8 e1e3 b7b6 f4f5 a8a7 a1e1 c5d7 f5g6 h7g6 d2d4 d7f6 e3c3 a7c7 c3c6 c7c6 d5c6 d8c7 e1c1 e7e5 d4c4 d6d5 c4b5 g7g8 h3g2 e5e4 g2h3 d5d4 c1d1 d4d3 b5c4 e8e5 f2f3 e5c5 c4d4 c7c6 f3e4 c6e4 d4e4 f6e4 h3g2 f7f5 d1d3 c5c1 g2f1 c1c2 d3b3 e4d2 b3b6 d2f3,E62,-1,16 14 16 34 22 19 16 36 34 42 31 50 49 81 26 22 31 30 31 58 60 66 40 46 44 116 92 89 90 137 89 97 115 99 109 126 115 184 182 198 194 187 ,74.5952380952381,198.0,14.0,171.0,2944.955215419501,4.170731707317073,72.0,0.0,1.0,184.0
,d2d4 g8f6 c2c4 c7c5 d4d5 e7e5 b1c3 d7d6 e2e4 f8e7 g2g3 e8g8 f1g2 f6e8 g1e2 e7g5 f2f4 e5f4 g3f4 g5h4 e2g3 g7g6 e1g1 h4f6 c1e3 b8d7 d1d2 f6g7 a1e1 e8f6 h2h3 a7a6 a2a4 a8b8 e3f2 f8e8 g1h1 d8c7 f2g1 d7f8 e4e5 f6d7 e5e6 d7f6 f4f5 b7b6 g1h2 c8b7 g3e4 f6e4 c3e4 f7e6 f5f6 e6e5 f6f7 g8h8 f7e8q b8e8 e4g5 b7c8 f1f7 c7d8 e1f1 c8f5 f7f5 g6f5 g5f7,A56,1,23 22 19 79 80 134 117 112 130 128 104 129 105 123 123 118 125 157 154 139 135 154 153 166 151 137 130 130 124 169 162 205 170 ,124.45454545454545,205.0,19.0,147.0,1688.1873278236915,4.59375,60.0,0.0,1.0,186.0
,d2d4 d7d5 g1f3 g8f6 c2c4 e7e6 b1c3 f8e7 c1g5 h7h6 g5h4 e8g8 e2e3 b7b6 c4d5 f6d5 h4e7 d5e7 f1d3 c8b7 e1g1 b8d7 b2b4 c7c5 d4c5 b6c5 b4b5 e7d5 a1c1 d8f6 c3e4 f6e7 a2a3 a7a6 a3a4 d5b4 d3b1 a6b5 a4b5 f8d8 d1b3 b7d5 b3b2 d5e4 b1e4 a8b8 b2e2 d7f6 e4c6 d8c8 f3e5 e7d6 f2f4 b4c6 b5c6 f6e4 f1d1 d6e7 d1d7 e7h4 d7f7 e4f6 f7b7 b8a8 g2g3 h4h3 e2g2 h3h5 h2h3 h5e8 c1c5 a8a1 g1h2 c8a8 c6c7 e8h5 b7b8 g8h7 b8a8 a1a8 g2a8 h5e2 a8g2 e2e3 c7c8q f6e4 c8e6 e4f2 e6g6,D59,1,21 24 15 22 21 21 23 35 16 17 21 19 17 23 19 23 17 19 4 8 15 14 -22 -11 -23 -18 -26 13 -6 8 -8 -16 -20 -13 -19 -24 -29 -11 -12 -3 -44 -45 -44 -8 ,0.75,35.0,-45.0,-29.0,451.09659090909093,-0.6744186046511628,39.0,5.0,0.5454545454545454,80.0
,e2e4 c7c6 d2d4 d7d5 e4e5 c6c5 c2c3 b8c6 g1f3 c5d4 c3d4 c8g4 f1e2 e7e6 c1e3 d8b6 d1d2 g8e7 b1c3 e7f5 a1d1 a8c8 h2h3 g4f3 e2f3 f5h4 d2e2 f8b4 g2g3 h4f5 e2d3 c6a5 e1g1 f5e3 d3e3 a5c4 e3g5 e8g8 c3e2 c4b2 d1b1 c8c2 e2f4 h7h6 g5g4 g8h8 f4h5 f8g8 g4f4 b6c7 h5f6 b4d2 f4h4 g7f6 h4f6 g8g7 g1g2 d2g5 f3h5 g5f6 e5f6 c7g3 g2h1 g3h3,B12,-1,29 85 52 43 36 38 31 26 -14 -8 -12 -8 -7 -17 -24 -7 -51 -39 -43 -37 -89 -52 -123 -129 -111 -108 -171 -17 -118 -37 -38 -45 ,-30.15625,85.0,-171.0,-74.0,3479.3193359375,-2.3870967741935485,154.0,1.0,0.25,256.0
,b2b4 e7e5 c1b2 f7f6 e2e4 f8b4 f1c4 g8e7 d1h5 g7g6 h5f3 e7c6 g1e2 d7d6 e1g1 d8e7 d2d4 h7h5 a2a3 b4a5 b1c3 c8g4 f3e3 a5c3 b2c3 g4e2 e3e2 c6d4 c3d4 e5d4 a1d1 b8c6 c4d5 e8f8 d5c6 b7c6 d1d4 f8g7 e2c4 c6c5 d4d3 h8e8 f2f3 a8b8 d3b3 b8b3 c2b3 e7e5 c4a4 e5d4 g1h1 d4a4 b3a4 e8b8 h2h4 b8b3 f1a1 c5c4 h1g1 f6f5 e4f5 g6f5 g1f2 f5f4 a1a2 c4c3 f2f1 b3b1 f1e2 b1b2,A00,-1,-35 -14 -37 0 -43 -64 -67 -51 -73 -91 -82 -23 -43 -34 -45 31 -62 63 28 55 52 56 -107 1 -25 -16 -67 -69 -76 -77 -186 -10 -10 -5 -48 ,-33.542857142857144,63.0,-186.0,-13.0,2604.9338775510205,-0.38235294117647056,176.0,8.0,0.2,249.0
,c2c4 d7d6 b1c3 g7g6 g2g3 f8g7 d2d3 g8f6 f1g2 e8g8 g1f3 b8c6 h2h4 h7h5 c1g5 c8d7 d1d2 g8h7 e1g1 d8c8 f1e1 d7h3 g2h1 a7a6 c3d5 f8e8 a1c1 c8d8 g5e3 f6g4 f3g5 h7g8 g5h3 g4e3 d5e3 d8d7 h1c6 b7c6 h3g5 g7h6 d2c3 f7f6 g5f3 d7h3 e3g2 h6c1 c3c1 g8g7 c4c5 d6d5 e2e4 e7e5 c1c3 d5e4 d3e4 a8d8 g2e3 d8d7 c3c4 e8d8 c4a6 d7d3 a6c6 d8d7 a2a4 d7e7 a4a5 h3d7 c6d7 e7d7 a5a6 c7c6 e1a1 d7a7 e3c4 d3b3 f3d2 b3b5 c4d6 b5c5 d6c8 a7a8 a6a7 c5b5 d2c4 b5b7 c4b6 a8a7 a1a7 b7a7 c8a7 f6f5 a7c6 g7f6 e4f5 f6f5 g1f1 e5e4 f1e2 g6g5 b6c4 g5h4 g3h4 f5g4 c6d4 g4h4 c4e3 h4h3 b2b4 h5h4 b4b5 h3h2 b5b6 h4h3 e3f1 h2h1 b6b7 h3h2 b7b8q h1g2 b8g3 g2h1 g3h2,A10,1,7 35 31 39 14 39 11 8 8 12 13 33 -12 31 28 36 15 63 24 100 25 75 64 105 55 75 58 78 72 479 475 447 436 503 489 524 494 501 435 443 407 408 409 445 435 433 428 421 412 442 356 363 340 413 356 387 376 355 346 376 391 ,240.44262295081967,524.0,-12.0,384.0,38320.771298038155,6.4,407.0,2.0,0.9836065573770492,536.0
